x,y,terrain,traversable
0,0,mountainGreen,false
1,0,mountainGreen,false
2,0,mountainGreen,false
3,0,mountainGreen,false
4,0,mountainGreen,false
5,0,mountainGreen,false
6,0,mountainGreen,false
7,0,dirt,true
8,0,dirt,true
9,0,mountainGreen,false
10,0,mountainGreen,false
11,0,mountainGreen,false
12,0,mountainGreen,false
13,0,mountainGreen,false
14,0,mountainGreen,false
15,0,mountainGreen,false
16,0,mountainGreen,false
17,0,mountainGreen,false
18,0,bushGreen,false
19,0,dirt,true
20,0,bushGreen,false
21,0,dirt,true
22,0,bushGreen,false
23,0,dirt,true
24,0,dirt,true
25,0,bushGreen,false
26,0,dirt,true
27,0,bushGreen,false
28,0,dirt,true
29,0,bushGreen,false
30,0,dirt,true
31,0,bushGreen,false
32,0,mountainRed,false
33,0,mountainRed,false
34,0,mountainRed,false
35,0,mountainRed,false
36,0,mountainRed,false
37,0,mountainRed,false
38,0,mountainRed,false
39,0,mountainRed,false
40,0,mountainRed,false
0,1,mountainGreen,false
1,1,mountainGreen,false
2,1,mountainGreen,false
3,1,mountainGreen,false
4,1,cave,true
5,1,mountainGreen,false
6,1,mountainGreenLowerRight,false
7,1,dirt,true
8,1,dirt,true
9,1,mountainGreen,false
10,1,mountainGreen,false
11,1,mountainGreen,false
12,1,mountainGreen,false
13,1,mountainGreen,false
14,1,mountainGreen,false
15,1,mountainGreen,false
16,1,mountainGreen,false
17,1,mountainGreen,false
18,1,bushGreen,false
19,1,dirt,true
20,1,bushGreen,false
21,1,dirt,true
22,1,bushGreen,false
23,1,dirt,true
24,1,dirt,true
25,1,bushGreen,false
26,1,dirt,true
27,1,bushGreen,false
28,1,dirt,true
29,1,bushGreen,false
30,1,dirt,true
31,1,bushGreen,false
32,1,mountainRedLowerLeft,false
33,1,mountainRed,false
34,1,mountainRed,false
35,1,mountainRed,false
36,1,mountainRed,false
37,1,mountainRed,false
38,1,mountainRedLowerRight,false
39,1,mountainRedLowerLeft,false
40,1,mountainRed,false
0,2,mountainGreen,false
1,2,mountainGreen,false
2,2,mountainGreen,false
3,2,mountainGreenLowerRight,false
4,2,dirt,true
5,2,dirt,true
6,2,dirt,true
7,2,dirt,true
8,2,dirt,true
9,2,mountainGreen,false
10,2,mountainGreen,false
11,2,mountainGreen,false
12,2,mountainGreen,false
13,2,mountainGreen,false
14,2,mountainGreen,false
15,2,mountainGreen,false
16,2,mountainGreen,false
17,2,mountainGreen,false
18,2,dirt,true
19,2,dirt,true
20,2,dirt,true
21,2,dirt,true
22,2,dirt,true
23,2,dirt,true
24,2,dirt,true
25,2,dirt,true
26,2,dirt,true
27,2,dirt,true
28,2,dirt,true
29,2,dirt,true
30,2,dirt,true
31,2,dirt,true
32,2,dirt,true
33,2,mountainRedLowerLeft,false
34,2,mountainRed,false
35,2,mountainRed,false
36,2,mountainRed,false
37,2,mountainRed,false
38,2,dirt,true
39,2,dirt,true
40,2,dirt,true
0,3,mountainGreen,false
1,3,mountainGreen,false
2,3,mountainGreenLowerRight,false
3,3,dirt,true
4,3,dirt,true
5,3,dirt,true
6,3,dirt,true
7,3,dirt,true
8,3,dirt,true
9,3,mountainGreen,false
10,3,mountainGreen,false
11,3,mountainGreen,false
12,3,mountainGreen,false
13,3,mountainGreen,false
14,3,mountainGreen,false
15,3,mountainGreen,false
16,3,mountainGreen,false
17,3,mountainGreenLowerRight,false
18,3,dirt,true
19,3,dirt,true
20,3,dirt,true
21,3,dirt,true
22,3,bushGreen,false
23,3,dirt,true
24,3,dirt,true
25,3,bushGreen,false
26,3,dirt,true
27,3,bushGreen,false
28,3,dirt,true
29,3,bushGreen,false
30,3,dirt,true
31,3,dirt,true
32,3,dirt,true
33,3,dirt,true
34,3,mountainRedLowerLeft,false
35,3,mountainRed,false
36,3,mountainRed,false
37,3,mountainRed,false
38,3,dirt,true
39,3,dirt,true
40,3,dirt,true
0,4,mountainGreen,false
1,4,mountainGreenLowerRight,false
2,4,dirt,true
3,4,dirt,true
4,4,dirt,true
5,4,dirt,true
6,4,dirt,true
7,4,dirt,true
8,4,dirt,true
9,4,mountainGreenLowerLeft,false
10,4,mountainGreen,false
11,4,mountainGreen,false
12,4,mountainGreen,false
13,4,mountainGreen,false
14,4,mountainGreen,false
15,4,mountainGreen,false
16,4,mountainGreenLowerRight,false
17,4,dirt,true
18,4,bushGreen,false
19,4,dirt,true
20,4,bushGreen,false
21,4,dirt,true
22,4,dirt,true
23,4,dirt,true
24,4,dirt,true
25,4,dirt,true
26,4,dirt,true
27,4,dirt,true
28,4,dirt,true
29,4,dirt,true
30,4,dirt,true
31,4,dirt,true
32,4,dirt,true
33,4,dirt,true
34,4,dirt,true
35,4,mountainRedLowerLeft,false
36,4,mountainRed,false
37,4,mountainRed,false
38,4,dirt,true
39,4,dirt,true
40,4,dirt,true
0,5,dirt,true
1,5,dirt,true
2,5,dirt,true
3,5,dirt,true
4,5,dirt,true
5,5,dirt,true
6,5,dirt,true
7,5,dirt,true
8,5,dirt,true
9,5,dirt,true
10,5,dirt,true
11,5,dirt,true
12,5,dirt,true
13,5,dirt,true
14,5,dirt,true
15,5,dirt,true
16,5,dirt,true
17,5,dirt,true
18,5,dirt,true
19,5,dirt,true
20,5,dirt,true
21,5,dirt,true
22,5,bushGreen,false
23,5,dirt,true
24,5,dirt,true
25,5,bushGreen,false
26,5,dirt,true
27,5,bushGreen,false
28,5,dirt,true
29,5,bushGreen,false
30,5,dirt,true
31,5,dirt,true
32,5,dirt,true
33,5,dirt,true
34,5,dirt,true
35,5,dirt,true
36,5,mountainRedLowerLeft,false
37,5,mountainRedLowerRight,false
38,5,dirt,true
39,5,dirt,true
40,5,rockRed,false
0,6,mountainGreenTop,false
1,6,mountainGreenTopRight,false
2,6,dirt,true
3,6,dirt,true
4,6,dirt,true
5,6,dirt,true
6,6,dirt,true
7,6,dirt,true
8,6,dirt,true
9,6,dirt,true
10,6,dirt,true
11,6,dirt,true
12,6,dirt,true
13,6,dirt,true
14,6,mountainGreenTop,false
15,6,mountainGreenTop,false
16,6,mountainGreenTopRight,false
17,6,dirt,true
18,6,bushGreen,false
19,6,dirt,true
20,6,bushGreen,false
21,6,dirt,true
22,6,dirt,true
23,6,dirt,true
24,6,dirt,true
